timestamp,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped
1771117727,4632982751298,22036321036025,46943078161,329183112596,68,0
1771117757,4632982793561,22036321050521,46943078346,329183112719,68,0
1771117787,4632982833884,22036321065023,46943078534,329183112842,68,0
1771117817,4632982886810,22036321080173,46943078762,329183112972,68,0
1771117847,4632982943998,22036321111062,46943079149,329183113279,68,0
1771117877,4632982990545,22036321133317,46943079417,329183113487,68,0
1771117907,4632986615890,22036698055430,46943131784,329183450638,68,0
1771117937,4632996625748,22036718497339,46943283040,329183760268,68,0
1771117967,4633005977328,22036737619736,46943424379,329184049913,68,0
1771117997,4633015538462,22036757410692,46943568876,329184349682,68,0
1771118027,4633025448339,22036777860229,46943718665,329184659429,68,0
1771118057,4633034675519,22036796987846,46943858130,329184949149,68,0
1771118087,4633044309197,22036816766036,46944003782,329185248723,68,0
1771118117,4633054204348,22036837200340,46944153348,329185558233,68,0
1771118147,4633063339460,22036856324825,46944291333,329185847856,68,0
1771118177,4633072936012,22036876111242,46944436313,329186147538,68,0
1771118207,4633082892829,22036896538780,46944586790,329186456914,68,0
1771118238,4633092502165,22036916321737,46944732008,329186756557,68,0
1771118268,4633101727987,22036935188268,46944871475,329187042324,68,0
1771118298,4633102052351,22037120520726,46944875958,329190131056,68,0
1771118328,4633102095939,22037163692684,46944876208,329190850475,68,0
1771118358,4633102133800,22037163706648,46944876369,329190850594,68,0
1771118388,4633102184295,22037163724377,46944876564,329190850747,68,0
1771118418,4633102222013,22037163739341,46944876715,329190850876,68,0
1771118448,4633102284520,22037163779601,46944877155,329190851302,68,0
1771118478,4633102329321,22037163801533,46944877386,329190851509,68,0
1771118508,4633102365477,22037163815333,46944877520,329190851626,68,0
1771118538,4633102404330,22037163830533,46944877693,329190851757,68,0
1771118568,4633102441083,22037163844249,46944877837,329190851873,68,0
1771118598,4633105566793,22037540160289,46944922438,329191179044,68,0
1771118628,4633114358146,22037559977826,46945055296,329191479213,68,0
1771118658,4633122926620,22037579101320,46945184865,329191768870,68,0
1771118688,4633132075786,22037599568458,46945323275,329192078881,68,0
1771118718,4633140968140,22037619379181,46945457710,329192378931,68,0
1771118748,4633149568864,22037638539741,46945587720,329192669066,68,0
1771118778,4633158873097,22037658994133,46945728437,329192978857,68,0
1771118808,4633167844643,22037678793783,46945864136,329193278754,68,0
1771118838,4633176517828,22037697917946,46945995259,329193568416,68,0
1771118868,4633185904226,22037718355681,46946137187,329193877981,68,0
1771118898,4633195052022,22037738146297,46946275526,329194177747,68,0
1771118928,4633204161849,22037757928501,46946413320,329194477384,68,0
1771118958,4633213256755,22037777681915,46946550934,329194776588,68,0
1771118988,4633611855097,22038279260949,46953188506,329199878234,68,0
1771119018,4633943206660,22038797721946,46958707619,329204461422,68,0
1771119048,4633949044393,22038822189710,46958802909,329204689036,68,0
1771119078,4633949418487,22038822425799,46958807886,329204691698,68,0
1771119108,4633949560422,22038822440684,46958809672,329204691823,68,0
1771119138,4633949600118,22038822454299,46958809875,329204691939,68,0
1771119168,4633949638949,22038822469672,46958810039,329204692073,68,0
1771119198,4633949678706,22038822483622,46958810222,329204692191,68,0
1771119228,4633949719748,22038822498551,46958810378,329204692318,68,0
1771119258,4633949757877,22038822512732,46958810545,329204692436,68,0
1771119288,4633952157560,22039127539914,46958845034,329204955110,68,0
1771119318,4633961227311,22039147321711,46958982056,329205254725,68,0
1771119348,4633970362085,22039167143852,46959120060,329205554872,68,0
1771119378,4633979412765,22039186938532,46959256952,329205854671,68,0
1771119408,4633988471948,22039206720600,46959393947,329206154307,68,0
1771119438,4633997579719,22039226515144,46959531722,329206454133,68,0
1771119468,4634006624493,22039246298106,46959668531,329206753784,68,0
1771119498,4634015741608,22039266074762,46959806469,329207053338,68,0
1771119528,4634024822172,22039285858239,46959943830,329207352987,68,0
1771119558,4634034009292,22039305644463,46960082753,329207652686,68,0
1771119588,4634043162550,22039325424118,46960221172,329207952276,68,0
1771119618,4634052612934,22039345874252,46960364176,329208262005,68,0
1771119648,4634061503084,22039365013558,46960498641,329208551843,68,0
1771119679,4634421225306,22039709549004,46966492051,329213417354,68,0
1771119709,4634863002191,22040383405791,46973854180,329219265328,68,0
1771119739,4634905934797,22040556027473,46974569232,329220787680,68,0
1771119769,4634906461218,22040563204970,46974577425,329220887400,68,0
1771119799,4634906531840,22040563240372,46974578130,329220887795,68,0
1771119829,4634906581106,22040563255379,46974578415,329220887922,68,0
1771119859,4634906622260,22040563270158,46974578573,329220888044,68,0
1771119889,4634906664394,22040563286226,46974578739,329220888181,68,0
1771119919,4634906712495,22040563309704,46974579024,329220888414,68,0
1771119949,4634906763971,22040563338594,46974579333,329220888702,68,0
1771119979,4634908846171,22040896187956,46974608668,329221155654,68,0
1771120009,4634918524962,22040916625870,46974754953,329221465226,68,0
1771120039,4634927540969,22040935741355,46974891227,329221754757,68,0
1771120069,4634936816657,22040955519217,46975031506,329222054330,68,0
1771120099,4634946026584,22040975960373,46975171026,329222363951,68,0
1771120129,4634954459418,22040995079559,46975298870,329222653542,68,0
1771120159,4634963700700,22041014866490,46975438602,329222953247,68,0
1771120189,4634974776157,22041035321402,46975605842,329223263073,68,0
1771120219,4634985499262,22041054462517,46975767497,329223552966,68,0
1771120249,4634998902220,22041074254156,46975969685,329223852678,68,0
1771120279,4635013890540,22041094043422,46976195966,329224152398,68,0
1771120309,4635029414195,22041114501330,46976430417,329224462274,68,0
1771120339,4635044079361,22041133608139,46976651796,329224751674,68,0
1771120369,4635370069531,22041521044111,46982077794,329229004540,68,0
1771120399,4635811797351,22042213756976,46989439193,329235003360,68,0
1771120429,4635857731248,22042357980922,46990204259,329236409730,68,0
1771120459,4635857961942,22042358779970,46990207569,329236418689,68,0
1771120489,4635858008362,22042358796557,46990207806,329236418836,68,0
1771120519,4635858061132,22042358821420,46990208114,329236419085,68,0
1771120549,4635858113879,22042358852281,46990208435,329236419395,68,0
1771120579,4635858158809,22042358873489,46990208677,329236419600,68,0
1771120609,4635858197146,22042358887351,46990208845,329236419717,68,0
1771120639,4635858232780,22042358900979,46990208970,329236419831,68,0
1771120669,4635859846584,22042710503900,46990231618,329236685359,68,0
1771120699,4635872206668,22042730292173,46990418119,329236985082,68,0
