network_address,prefixlen,bgp_prefix,asn,responsive_addresses,port,date,location
34.8.40.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.41.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.42.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.43.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.44.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.45.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.46.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.47.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.48.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.49.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.50.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.51.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.52.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.53.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.54.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.55.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.56.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.57.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.58.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.59.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.60.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.61.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.62.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.63.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.64.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.65.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.66.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.67.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.68.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.69.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.70.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.71.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.72.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.73.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.74.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.75.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.76.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.77.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.78.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.79.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.80.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.81.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.82.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.83.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.84.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.85.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.86.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.87.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.88.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.89.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.90.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.91.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.92.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.93.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.94.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.95.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.96.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.97.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.98.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.99.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.100.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.101.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.102.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.103.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.104.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.105.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.106.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.107.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.108.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.109.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.110.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
